baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	absLog
0610007P14Rik	1094.46891180637	0.0325397306430525	0.0608566335080632	-0.534694884802347	0.592860859187982	0.999990446119983	0.0325397306430525
0610009B22Rik	859.595145253276	0.0939169939349804	0.0671110585290202	-1.39942650277776	0.16168512399116	0.999990446119983	0.0939169939349804
0610009L18Rik	116.361269171491	0.0322635637256992	0.0740128637468646	-0.435918326793104	0.662895987787671	0.999990446119983	0.0322635637256992
0610009O20Rik	1131.54223086148	-0.0719383177268277	0.0618714392665664	1.16270638891863	0.244948648574915	0.999990446119983	0.0719383177268277
0610010F05Rik	2295.48963831243	-0.0128090104808556	0.0566062115255632	0.226282772431628	0.820981496527123	0.999990446119983	0.0128090104808556
0610010K14Rik	47.9575206586925	-0.00603164945341483	0.0657672390891546	0.0917120672381924	0.926926809531906	0.999990446119983	0.00603164945341483
0610012G03Rik	814.835973247539	0.0491942515216977	0.0733724356639484	-0.670473197141925	0.50255618700895	0.999990446119983	0.0491942515216977
0610030E20Rik	980.711011029425	-0.000949329112436774	0.0639469460894401	0.0148455738778985	0.988155380882866	0.999990446119983	0.000949329112436774
0610037L13Rik	1799.4677658864	-0.029381741448264	0.0619904847003089	0.473971797289683	0.635520018798049	0.999990446119983	0.029381741448264
0610040J01Rik	89.4714959732889	0.00301265572601348	0.0721286747386677	-0.0417677953591794	0.966683808179015	0.999990446119983	0.00301265572601348
1110004E09Rik	1074.28707749167	-0.0216577894416719	0.0616566547223443	0.351264426187285	0.725389980401749	0.999990446119983	0.0216577894416719
1110004F10Rik	3808.00517115895	0.072900012802333	0.057297944291392	-1.27229717756707	0.203267551040502	0.999990446119983	0.072900012802333
1110008F13Rik	1200.5306094692	0.0232034488821985	0.0673404391403032	-0.34456931345301	0.730418178802709	0.999990446119983	0.0232034488821985
1110008L16Rik	277.153400258523	-0.0173226008813127	0.0746237486157132	0.232132547649383	0.816435065857395	0.999990446119983	0.0173226008813127
1110008P14Rik	934.837065902581	0.0462004370183621	0.0692341393322139	-0.66730716181324	0.504575952680772	0.999990446119983	0.0462004370183621
1110012L19Rik	323.202040214046	-0.0630102674563559	0.0734683609321326	0.857651738202823	0.391084796865055	0.999990446119983	0.0630102674563559
