KD1	KD2	KD3	KL1	KL2	KL3	WD1	WD2	WD3	WL1	WL2	WL3
0610007P14Rik	10.6329447502408	8.65039268387995	11.0638160843083	8.99544649366613	8.14360258870671	9.04559227509916	9.90108605266865	8.07177297725655	9.5695599203327	8.36679395893684	8.61926242348007	8.559348192701
0610009B22Rik	31.9574326436347	30.9601091022115	37.3601716485345	28.9992092683407	27.6270869764896	33.2623192288792	34.3418204200489	26.7867721927088	35.3985715742758	27.4168992654038	25.9548854073586	29.1839276777408
0610009L18Rik	6.73362575459517	6.87912544475227	8.56252400211497	6.46298996760583	5.73768323154564	7.10269511692432	8.12638185890393	7.69733286169271	9.51205558188672	5.95153315422876	5.30888271672228	7.09822090293998
0610009O20Rik	16.0843192946135	16.1611818798319	15.3566479605204	16.0117183210583	14.955251160555	14.5316026400139	16.6770743905261	16.574034063946	18.6199198381456	16.8847633309285	15.8809871862115	15.937018947262
0610010F05Rik	16.1437237123586	14.6732505289941	15.227066452596	15.1379222803789	13.6994453590866	14.8040506911535	14.9121759878754	14.1836718292082	15.3714292810613	14.2653547368279	15.1964143461987	14.8151663980905
0610010K14Rik	0.824389703737028	0.371218977778503	0.834757022695053	0.855411988955698	0.80515614634693	0.844857836312593	0.950355256123471	0.775825672924413	0.871709586969854	0.812542937444907	0.815636237689523	0.930472978050888
0610012G03Rik	21.1702297899259	17.754080677571	24.5294832280312	20.2031144353495	16.2348953924971	21.5341157009974	22.2376553079909	17.4825143061998	22.5658163771542	19.6541753447784	15.3396058100003	20.0409190671085
0610030E20Rik	6.80238629340682	5.17132478447284	6.27334002910822	6.00071314684981	5.10696336581049	5.69200867462646	6.15351769234131	5.59277444303535	6.15794365891247	5.58755931048288	5.34750809058584	5.94154571332611
0610037L13Rik	11.8325251494558	9.35234581267938	11.4870649941682	10.4867364688536	9.66771952985564	11.3445071334623	11.6888803852303	10.2069170246942	12.5798231909047	10.517557688855	10.3235974892009	11.6292463757864
0610040J01Rik	1.362857670859	1.36197045180458	1.2253669850902	1.15488331337329	1.12794480243419	1.44667345499123	1.09352154938885	0.93151299381686	1.36125269459192	1.39371203513321	1.1798383529791	1.14971593377706
1110002E22Rik	0.0186113755880391	0.0140794395252659	0.0184071618396914	0.0180242840908182	0.00934825365159019	0.0136354969517195	0.0112639625775787	0.0191903442757858	0.0137757666274492	0.0167487998620979	0.0225568533427839	0.0199758076111579
1110004E09Rik	24.6825048356694	25.9020225385996	31.5294921684292	26.3154918814148	24.9465984728833	26.8645758854722	28.5131034509074	27.3219610446734	31.6475447475269	26.3248325870178	25.2055586747171	28.4892030531568
1110004F10Rik	53.4615067472451	52.2361455458691	60.8275677719969	50.4289529728965	50.5480473406611	56.3788946001444	52.7506325809048	49.8155673204044	56.958869740879	49.1872377698577	47.7053843093455	51.8411570814505
1110008F13Rik	15.2309248642861	12.3679147075036	15.7689173814057	14.7504688958203	12.1211087065604	15.4086862315598	15.3895650958079	11.3163185337522	15.3153393002925	13.4033592248988	13.3202119325774	14.7591531686905
1110008L16Rik	2.17340065649577	2.15797296327466	2.16608799043969	2.15341449966038	2.07137590914534	1.92151012631099	2.33564960352088	2.28410788177746	2.13463115838844	2.31698051727522	2.1492894255289	1.83927293449026
1110008P14Rik	12.9852962985495	10.7638621725922	13.4849555768584	10.9301372933764	11.5297511121718	12.9673247017793	12.9171058781905	9.19917242660931	12.9856901055212	11.6608999226382	10.069504687942	12.3063135361526
1110012L19Rik	10.6135060943903	9.1999871121691	11.3381588615503	10.4104837988007	8.62874574119604	9.4395092898897	12.5930758413107	8.71051013050784	11.2676830615546	9.27581605291411	10.2189379267746	11.1968723057068
1110017D15Rik	7.69971861224337	5.34931510497878	8.93624312530135	8.26846084487545	6.55540421359864	8.68237629581836	9.32531915113133	6.12095905264502	9.54709099367476	8.01330476386019	7.43658205172798	9.32299009495073
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	9.94189374058982	8.61006405175812	10.4725643277647	8.81797831401097	8.4758441723271	8.91165382374058	10.1489430709902	8.96554418133546	10.9028751325483	8.97857309462159	7.69984955729289	9.20044134196643
1110032F04Rik	2.56955957307993	1.52888076744028	2.32720504762896	2.02715165937161	1.5105999484193	1.90372271017785	2.34436937599582	1.19078393836653	1.58939911309224	1.76678139169051	1.74959984267768	1.7172556605906
1110034G24Rik	5.99452978715751	4.82076151964412	6.27648221732998	5.36279070260747	4.53265040507769	5.37711989924178	5.78069184369482	4.62216257228845	6.09929062682615	5.20477381539847	4.6568706683766	5.9591536123539
1110037F02Rik	7.79967760048488	9.18490818030374	7.8842593283266	7.98282260267696	8.76850913315003	7.35306303326804	8.14625406606089	10.061850411125	8.05097931854597	8.17801051499151	8.5305860639831	7.45655368146246
1110038F14Rik	16.581077209534	14.3205255320676	19.2052161874445	14.8447575472159	12.5543837899339	16.9059843960815	17.8774996917999	15.4821807511371	19.8072268971927	15.7175115810049	12.7275593307978	16.7750041862451
1110051M20Rik	22.4994500842515	21.3638876618539	22.585124744397	22.288552516639	20.9254554011306	22.6885246052556	24.2250158582961	21.6810224887366	23.8287395746085	23.029017691389	21.3421679672405	22.3956630698849
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	13.1291039351686	10.4415776899237	13.0810522621341	11.246031970615	9.70089851192389	11.423612168401	11.8479894271722	10.8329420438001	13.3486392588304	11.0289563763591	10.452084522919	11.21121740054
