baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610007P14Rik	1016.34874057344	-0.000582681109952828	0.0582849066409276	-0.00999711835419961	0.992023586476506	0.999951691360058
0610009B22Rik	447.347548885408	0.0241235454150316	0.059266721528757	0.407033572851276	0.683983330350778	0.999951691360058
0610009L18Rik	40.7098489074429	0.0313017757475644	0.0510247717786473	0.613462337143926	0.539570678679499	0.999951691360058
0610009O20Rik	935.676445890226	0.0131201174632591	0.0555501127291397	0.236185253614737	0.813288921773194	0.999951691360058
0610010F05Rik	1484.55772035799	0.0343193984387141	0.0489272600982891	0.701437161405942	0.483030237457428	0.999951691360058
0610010K14Rik	33.24036139205	-0.0065482189557314	0.0479533348064057	-0.136553984872324	0.891383350428076	0.999951691360058
0610012G03Rik	431.94657633867	-0.0255212244016203	0.0604666932315298	-0.422070780419533	0.672973354849009	0.999951691360058
0610030E20Rik	732.96147864058	-0.0122517097526349	0.0592090673461615	-0.206922863368311	0.836070100536925	0.999951691360058
0610037L13Rik	1226.7033881147	-0.0344918666801555	0.0605650859263086	-0.569500829605407	0.569016307882614	0.999951691360058
0610040J01Rik	78.5432622999476	-0.000218032480944573	0.0575892398772102	-0.00378599338017752	0.996979221551168	0.999951691360058
1110004E09Rik	499.224001290369	-0.0789544398774833	0.0576651211315795	-1.36918883248899	0.170940255922659	0.999951691360058
1110004F10Rik	1602.34782134838	-0.000672666031876311	0.044132987657508	-0.0152417968413221	0.987839276470991	0.999951691360058
1110008F13Rik	569.352426799888	-0.0305409945599921	0.0564731627550041	-0.540805456434009	0.588641681518524	0.999951691360058
1110008L16Rik	251.040801822199	-0.0395056893680512	0.0606284308591909	-0.651603361792472	0.514657078471438	0.999951691360058
1110008P14Rik	538.981821138345	-0.00673965050827189	0.0597355228576026	-0.112824834970271	0.910169428596251	0.999951691360058
1110012L19Rik	176.648657664085	0.0242184747689025	0.0607350657137232	0.398756047833341	0.690072965405661	0.999951691360058
1110017D15Rik	415.570561093403	-0.0368970830509905	0.0607376187871881	-0.60748320049013	0.543530288132546	0.999951691360058
1110032A03Rik	1844.57472303508	0.0260561404825368	0.0600740533655648	0.433733684057892	0.664481843218704	0.999951691360058
1110032F04Rik	76.7706293485207	-0.0513416768587418	0.0554861113051459	-0.92530681374278	0.354806335467996	0.999951691360058
1110034G24Rik	163.428523709045	0.0119396157869217	0.0594177847953544	0.200943468829137	0.840742777657647	0.999951691360058
1110037F02Rik	1260.63405618936	-0.0147575964833717	0.060228684380276	-0.245026047558904	0.806436262959173	0.999951691360058
1110038F14Rik	223.999575688338	-0.0462088489039491	0.0606984951255547	-0.761284918322377	0.446486906720445	0.999951691360058
1110051M20Rik	2832.94481952051	0.0110984160720824	0.0442382587022624	0.250878230691184	0.801908255659261	0.999951691360058
1110059E24Rik	627.720454126354	-0.0148361730103513	0.0533276432913691	-0.278207925471038	0.780852751290337	0.999951691360058
1110059G10Rik	312.787643362966	-0.0511695463398425	0.0595660561620135	-0.859038681370252	0.390319175442629	0.999951691360058
1110065P20Rik	304.956098859139	0.0168600083016921	0.0584170588354299	0.288614467037606	0.772876423335038	0.999951691360058
1190002N15Rik	1173.4623313409	0.0603344574648772	0.0525116474830055	1.14897285377313	0.250567174480173	0.999951691360058
1190005I06Rik	16.4549358351916	0.0309390064384284	0.0323133511520224	0.957468208508359	0.338330985339579	0.999951691360058
1190007I07Rik	133.494357772152	-0.0145204605491962	0.0565452551145583	-0.256793616365835	0.797338098272679	0.999951691360058
1500009C09Rik	2171.31607760906	-0.0248544440535548	0.0509125227039611	-0.488179385611569	0.625422784730726	0.999951691360058
1500009L16Rik	425.486479524919	-0.0697678974876048	0.0565956674556012	-1.23274272791883	0.217671765013158	0.999951691360058
1500011B03Rik	2832.10735322489	0.0251574178518298	0.0606763130869998	0.414616784901849	0.678422458769613	0.999951691360058
1500011K16Rik	371.026487573471	0.00391831840630986	0.0586949184879888	0.0667573702672693	0.946774861261051	0.999951691360058
1500015O10Rik	34.2621189174207	-0.0685648172895256	0.0287910425061844	-2.38146351507757	0.0172439988632752	0.999951691360058
1600002H07Rik	179.956532650119	-0.02440341121495	0.0598563897068648	-0.407699350636766	0.683494414263389	0.999951691360058
1600002K03Rik	67.7439920242337	0.0303789552575415	0.055874597640674	0.543698863889931	0.586648714372162	0.999951691360058
