baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610007P14Rik	854.78753746314	0.217722722335444	0.102628657117276	2.12146128041653	0.0338830030120394	0.255287969373942
0610009B22Rik	391.423167323397	0.107717117690275	0.117060748723345	0.9201813491288	0.357477999048236	0.709002501038053
0610009L18Rik	34.6830379530439	0.185946866115414	0.147160955039862	1.2635611536025	0.206387583973855	0.567555122228082
0610009O20Rik	823.985277433877	0.0627363600081133	0.0958116057974637	0.654788733431019	0.512603785498032	0.805481699190078
0610010F05Rik	1344.41466923012	-0.0207619237211124	0.0839645810626596	-0.247270020982044	0.804699258304559	0.936182429598065
0610010K14Rik	28.8436066404721	0.0296871491928832	0.145088069896468	0.204614681372957	0.837873184011231	0.948030952618717
0610012G03Rik	372.773462301671	0.0496128175296141	0.124038182487695	0.399980203954824	0.689171097421747	0.891525160603469
0610030E20Rik	604.118404917219	0.22367718079645	0.129023593947818	1.7336145580235	0.0829864956634884	0.388455554594778
0610037L13Rik	1022.75927100897	0.128700208554309	0.125078608030227	1.02895459568279	0.303501011353281	0.662872569961724
0610040J01Rik	70.738606106678	-0.0185814542671286	0.146306172623469	-0.127003898290399	0.898937313147589	0.97058029816357
1110004E09Rik	405.12551010082	0.180457179416503	0.109586900017294	1.64670393439384	0.0996189151388665	0.4189826405411
1110004F10Rik	1382.16935469841	0.113593368702687	0.0868057973138611	1.30859196295348	0.190672604816354	0.552691046767798
1110008F13Rik	489.653397930138	0.0661619900415238	0.102650692114832	0.644535255227608	0.519228403745258	0.809827456233764
1110008L16Rik	236.393922111851	-0.265602296242937	0.124873500121349	-2.12697086239138	0.033422504251855	0.254207182799351
1110008P14Rik	484.219295566232	-0.0449907001054243	0.1052129601609	-0.427615571661712	0.668931027075597	0.883896750588251
1110012L19Rik	151.274059698142	0.200133740847942	0.131098231770723	1.52659374687796	0.126862062915988	0.467518709140352
1110017D15Rik	377.74481659165	-0.163812706673937	0.122024320360637	-1.34245948832001	0.179447057401409	0.540836901912729
1110032A03Rik	1627.43675453268	0.0852848283376004	0.109033771228372	0.782187274426846	0.434104522085722	0.761873032056712
1110032F04Rik	75.1006476786998	-0.346975668417776	0.147208465848205	-2.35703610127669	0.0184214558668326	0.184459298688117
1110034G24Rik	140.666734557495	0.129076475768034	0.141344601418544	0.913204144145686	0.361135184802211	0.711945058876498
1110037F02Rik	1143.25308507482	-0.121305354581304	0.109874652060643	-1.10403402701428	0.269578377456612	0.635392157875165
1110038F14Rik	193.230161479191	0.00244582130049648	0.125817543931784	0.0194394297016524	0.984490555990712	0.996018724907487
1110051M20Rik	2463.98645831275	0.10590153598964	0.0744050922555409	1.42331032432465	0.154646215382497	0.509284584240464
1110059E24Rik	529.213644459336	0.182592566726418	0.101003996990895	1.80777565409493	0.0706414243806725	0.3612413883513
1110059G10Rik	260.901522897295	0.10992276603682	0.122279564353059	0.898946333497222	0.368681246773352	0.717021833323074
1110065P20Rik	274.18847313258	0.0112457197431816	0.136142351466595	0.0826026553973611	0.93416748979164	0.98261764430072
1190002N15Rik	1008.70604441526	0.239365760685892	0.0972726250129192	2.46077208931187	0.0138638403986904	0.156503933586925
1190005I06Rik	15.9873385093156	0.0722409893170446	0.130586197083345	0.553205399426233	0.580122770109257	0.84274782705675
1190007I07Rik	116.707229137969	0.0119224202581881	0.143551185961525	0.0830534431208641	0.933809044894182	0.982387271166084
1500009C09Rik	1807.05566970581	0.223786732967079	0.0854379473073587	2.61928967185995	0.00881130902811187	0.121389247829429
1500009L16Rik	337.305217460353	0.316484767682106	0.111781767971089	2.83127359162865	0.00463630444054161	0.0810678682533328
1500011B03Rik	2408.06080315841	0.24786349922904	0.0952234629575509	2.60296665895813	0.00924209410862015	0.124802222637788
1500011K16Rik	314.027603008031	0.19737327317992	0.116554521337616	1.69339868513725	0.0903796050009232	0.402807821479165
1500015O10Rik	19.3892462485681	-0.0642663384424261	0.130286658724004	-0.493268758841735	0.621822699731909	0.862469535234282
1600002H07Rik	158.467569791654	-0.0389434639422442	0.135149483075337	-0.288151038805941	0.773231125287422	0.926116119073252
1600002K03Rik	57.3215765899125	0.197076328963805	0.148987800455793	1.32276822908249	0.185912465776672	0.547794948004095
1600012H06Rik	400.435565723802	0.0223674030133673	0.118861013354497	0.188181156984231	0.850734643153204	0.953671548155054
1600014C10Rik	905.549916938091	0.167306887278402	0.0901865805882812	1.85511953316192	0.0635791590251853	0.34382934687861
1700001C02Rik	204.273650300022	-0.197684018694495	0.144103247805978	-1.3718220907877	0.170118828532933	0.530252486294939
1700001L19Rik	452.251875831534	0.284112097413477	0.105810079186247	2.68511373962194	0.00725051275080451	0.106969339344738
1700001O22Rik	22.7303880258574	-0.198245159201046	0.140749618198203	-1.4084951827143	0.158984492414727	0.5173929302308
1700003E16Rik	650.131218753514	-0.0940843772596526	0.105330462287025	-0.893230459800632	0.371733769386942	0.718939092542207
1700007G11Rik	140.894745111529	-0.192411408734537	0.140907650294504	-1.36551428068233	0.172091467766534	0.53263336745629
1700007K13Rik	830.200453169483	0.404004607510294	0.112568629426482	3.58896265832345	0.000331996386270382	0.0129078242062005
1700010I14Rik	82.6388344009155	-0.0171069889943216	0.14485637045152	-0.118096214484726	0.90599142286734	0.973667987162469
1700012B09Rik	162.159001936716	-0.173001170389383	0.134848881528974	-1.28292625365388	0.199517913989964	0.560621776014477
1700013F07Rik	272.135384275085	0.058933403453306	0.130902121647475	0.450209688823962	0.652559250760663	0.878003159754407
1700016K19Rik	364.483090334929	-0.0920968869434005	0.124113359175929	-0.742038468339693	0.458064028727568	0.778669679635891
1700017B05Rik	296.162631074674	-0.144220820538001	0.120973736347128	-1.19216637340329	0.233196015747297	0.598218151011745
1700019D03Rik	141.431332425292	0.334935240900476	0.134670328774787	2.48707524476751	0.0128798154244668	0.150404841074229
1700020D05Rik	9.29629881377815	0.0393134641572199	0.113586370506509	0.346110752389672	0.729259483021995	0.907130997089278
1700021F05Rik	345.912981119163	0.0785465701289607	0.112727084340684	0.696785254301242	0.485937195567543	0.793233364807033
1700023F06Rik	91.231343186401	0.0946002243345825	0.14377881331537	0.657956635982819	0.510565996140421	0.80468302495689
