baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610007P14Rik	843.729809503871	0.193171642487453	0.0981055833492274	1.9690178264352	0.04895104404541	0.306452598993259
0610009B22Rik	380.183486040061	0.147341621770627	0.110224238272579	1.33674429580777	0.181306117610661	0.536738348107093
0610009L18Rik	35.3759691776561	0.0986730535696311	0.144968345073162	0.680652410840678	0.496091455265853	0.79086328564138
0610009O20Rik	804.077280475048	0.0817632563479966	0.096381956482389	0.848325343581674	0.396256807132987	0.728218463804981
0610010F05Rik	1307.12826272084	0.0127044688692393	0.0834171448786492	0.152300451996063	0.878949968437909	0.961421438729892
0610010K14Rik	26.4067468074523	0.142736617299953	0.140859627401275	1.0133252510553	0.310904830172507	0.665648098998252
0610012G03Rik	362.562508758168	0.0788192717859323	0.118864803458705	0.663100173411003	0.507266399609575	0.797711427984598
0610030E20Rik	591.812890502621	0.224575879725363	0.129084950712544	1.73975260853967	0.0819024673043686	0.386103271197264
0610037L13Rik	1014.87767162887	0.0881479238079147	0.121302444154312	0.726678876278696	0.46742269658645	0.770062385189023
0610040J01Rik	69.5855653914882	-0.0244088862354649	0.145559064273965	-0.167690595959889	0.866826694763264	0.95775249655308
1110004E09Rik	388.899977021409	0.26452849394554	0.110433455989645	2.39536553098857	0.0166038032968078	0.174910991114833
1110004F10Rik	1358.35247642985	0.105052294408203	0.0841761722167472	1.24800512593636	0.212029180021716	0.573684398776213
1110008F13Rik	496.32253941605	-0.0567532510487337	0.103159897187496	-0.550148387077033	0.582217600857641	0.838287841495978
1110008L16Rik	213.061862901492	-0.00410222121701227	0.127374210899522	-0.0322060579456565	0.974307725144694	0.993192012521384
1110008P14Rik	467.95770224272	0.00971525797762282	0.110141809437776	0.0882068129007031	0.929712302514364	0.979119777656067
1110012L19Rik	152.191993443066	0.109890783248003	0.131630230506687	0.834844570468333	0.403805227170453	0.734723792851893
1110017D15Rik	357.293504149588	-0.0493796664907437	0.120024393175933	-0.411413590055501	0.680769290506494	0.882847429007625
1110032A03Rik	1567.04713261972	0.160033506400467	0.101494406192117	1.57677169023033	0.114848067847203	0.447951597766432
1110032F04Rik	66.6279926823423	-0.123445767987608	0.146843679745471	-0.840661090770681	0.400537824035175	0.732210666132465
1110034G24Rik	131.61696676349	0.270473922570364	0.142208735861378	1.90195012234702	0.0571776755926583	0.331628259915107
1110037F02Rik	1154.42716821735	-0.214547046411873	0.112752902841381	-1.90280729812955	0.0570656945762778	0.331594728861042
1110038F14Rik	185.543994634827	0.0728184467622242	0.127242724029121	0.572279847966467	0.567132399965308	0.828998239118535
1110051M20Rik	2434.18616269321	0.0744564927603957	0.0745284742871842	0.999034174153209	0.31777813673772	0.670035556768011
1110059E24Rik	518.574537541099	0.185686429614729	0.0984696902962476	1.88572167797105	0.0593324700739115	0.337162765988485
1110059G10Rik	257.589936064502	0.0859680276200361	0.120489281345356	0.713491081199395	0.475541930114734	0.775483282997329
1110065P20Rik	269.539288026383	0.00393132619277815	0.135200527100001	0.0290777430909744	0.976802586731476	0.994052851770881
1190002N15Rik	1002.53895654407	0.184275400709553	0.0936366863374392	1.9679829340124	0.0490700013523048	0.306861063389344
1190005I06Rik	16.6950736227811	0.000799930613597093	0.128012117174396	0.00624886636713706	0.995014158451294	0.998522137535105
1190007I07Rik	109.591711349573	0.136645609756689	0.141659296326241	0.964607429942293	0.334741476543124	0.683438617969225
1500009C09Rik	1802.28998758152	0.1483823755444	0.0901916663477329	1.64518942329232	0.0999307539852923	0.423259686172728
1500009L16Rik	351.341823110724	0.074017320008516	0.109312938490308	0.677113990628645	0.498333632841724	0.792513950772386
1500011B03Rik	2393.31709206547	0.186984609164491	0.0988516069651648	1.89156873524963	0.0585484648134079	0.335554387915986
1500011K16Rik	307.009780124117	0.208929285673169	0.115205323407846	1.81353846760644	0.0697488111314553	0.363625271781728
1500015O10Rik	20.0564730977551	-0.101537520221281	0.122842596338162	-0.826566054837918	0.408483063988606	0.737337076515685
1600002H07Rik	152.423377817929	0.0185839461115378	0.139418804667408	0.133295835923073	0.893959420666933	0.966926707068286
1600002K03Rik	56.1162655619646	0.20060109222064	0.147262639873374	1.36219948517241	0.17313493826771	0.526024576486383
1600012H06Rik	373.953669964511	0.198742333100864	0.119276600222518	1.66623070015491	0.0956674734650805	0.416161857313046
1600014C10Rik	889.876244740232	0.159039590942621	0.0887011710159305	1.79298186394922	0.0729758240473901	0.371495369716556
1700001C02Rik	184.277586512372	0.0164028252902253	0.142589727256273	0.115035112317347	0.90841729116652	0.972129579090925
1700001L19Rik	453.511511994503	0.191177562890862	0.102359954602814	1.86769878545459	0.0618040680369855	0.342991310348745
1700003E16Rik	633.996898262445	-0.0749093529085415	0.10432995982522	-0.718004234201127	0.472754676060001	0.774024418579169
1700007G11Rik	135.637461246567	-0.142120250779642	0.141231064020696	-1.0062959715351	0.3142732177517	0.667337481209155
1700007K13Rik	821.242922872802	0.383084366031267	0.0989704748097741	3.87069342415072	0.000108526207089509	0.00507248030001188
1700010I14Rik	80.2385159514922	0.00789635157715535	0.144026994127724	0.0548254972963805	0.956277487043077	0.987639436563353
1700012B09Rik	154.015138561361	-0.0831505852700625	0.133531029382663	-0.622706090520548	0.533477679648287	0.811814973437645
1700013F07Rik	265.562079149143	0.0750409225922561	0.128597802809721	0.583531918529664	0.559535276451251	0.823667656302971
1700016K19Rik	343.433666012598	0.0389859009125107	0.125663517913402	0.310240406761307	0.756378145196889	0.916558878305901
