baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610007P14Rik	859.663572026038	0.149720807110627	0.0926060760444637	1.6167492836943	0.105932410927455	0.533221448360689
0610009B22Rik	389.47253482699	0.0893331818226599	0.104031269267526	0.858714715793111	0.3904979295789	0.777398702150201
0610009L18Rik	40.7542585874903	-0.113906940114357	0.11612043051416	-0.980937976288905	0.326623328557998	0.739759399219511
0610009O20Rik	830.209003555854	2.35509295897518e-05	0.0953918745528393	0.000246886117923037	0.999803013380234	0.99982522520372
0610010F05Rik	1323.39253836274	0.0046351435352144	0.0850693791484602	0.0544866270520831	0.956547462829198	0.988584698619188
0610010K14Rik	26.4040060258677	0.124133688093978	0.108999393946756	1.13884750730463	0.254766762988401	0.694953099938571
0610012G03Rik	374.484738472058	0.00341614655060068	0.109035093281002	0.0313307069110006	0.975005801849341	0.99372926342916
0610030E20Rik	612.465563302479	0.129443082012184	0.11338724175613	1.1416018240446	0.253619565498675	0.694758680070537
0610037L13Rik	1006.06714849776	0.148357980959528	0.10797512711176	1.37400144762941	0.169441233003969	0.610888365534114
0610040J01Rik	71.8498538536324	-0.0655715022187969	0.122154643894417	-0.536790908051544	0.591412052636075	0.87188589772927
1110004E09Rik	396.163198223322	0.215913977404882	0.102958168952827	2.0971038976403	0.0359843790406679	0.381365352693156
1110004F10Rik	1393.15555469102	0.0419086940231974	0.0816223451882107	0.51344633539457	0.607639140579553	0.878706998587416
1110008F13Rik	470.684068418787	0.172132600775798	0.100652284808089	1.71017082328532	0.0872342893155205	0.497409012130842
1110008L16Rik	230.05018679498	-0.192470787665653	0.112153593211727	-1.71613572203881	0.0861372044607201	0.496317800910119
1110008P14Rik	455.12790558038	0.144232414690322	0.103236059529135	1.3971127467299	0.162379669276973	0.598023131616254
1110012L19Rik	150.50043194486	0.16468881981978	0.116753146388706	1.41057286174954	0.158370598309535	0.59512340574175
1110017D15Rik	352.052934530571	0.03648215468649	0.110320583341879	0.330692184371734	0.740877006441866	0.927011934373933
1110032A03Rik	1600.66570510568	0.109396314340552	0.097875243904121	1.11771179285864	0.263690104467358	0.700325805140823
1110032F04Rik	71.556338372164	-0.209272170714668	0.121731146898461	-1.71913414148005	0.0855899493504611	0.495099737730201
1110034G24Rik	136.193819547802	0.178375689166207	0.120743400643575	1.47731211987939	0.139591990660277	0.580179598558059
1110037F02Rik	1155.34874082639	-0.174020826848262	0.101444228998057	-1.71543348071181	0.0862657813909124	0.496317800910119
1110038F14Rik	192.187943134866	-0.00709991369736785	0.113735954194113	-0.0624245318701104	0.950224759446489	0.986615319915697
1110051M20Rik	2492.82022501493	0.0194465908068801	0.0731662122927009	0.265786490751826	0.79040364794116	0.944098507860666
1110059E24Rik	530.058585994309	0.132169133014415	0.0943035784417846	1.40152828978813	0.16105615398241	0.59760845060355
1110059G10Rik	254.462498336467	0.152950726346684	0.110137755598859	1.38872201921162	0.164917295831576	0.603080363647065
1110065P20Rik	267.874526911307	0.0505695774713599	0.1196025240192	0.422813631117365	0.67243124156031	0.904423212583789
1190002N15Rik	999.675674850429	0.228702958842123	0.0893837390388354	2.55866404003033	0.010507523291055	0.254166384488032
1190005I06Rik	15.023270352145	0.0902885672208222	0.0905595521731392	0.997007660199126	0.318760791748384	0.735852384690597
1190007I07Rik	112.418044170302	0.0786437811802558	0.122151159672204	0.643823451134632	0.519689924875411	0.841861916887755
1500009C09Rik	1856.08808112193	0.0682829790586772	0.087579641664125	0.779667257837705	0.435586755970067	0.800287245774875
1500009L16Rik	344.370629089446	0.174534025843655	0.104135822711138	1.67602292179315	0.0937337028944744	0.510968488076293
1500011B03Rik	2420.7653371373	0.17473070925082	0.0924392275718792	1.8902225152731	0.0587282066599689	0.438459564341313
1500011K16Rik	313.142702046541	0.15950322136076	0.105810746931243	1.50743876200408	0.13169822946741	0.568937058739297
1500015O10Rik	15.7206858847302	0.105407381590493	0.0896918641716931	1.17521675532038	0.239908008508312	0.679713577512374
1600002H07Rik	149.143670537206	0.10604923318125	0.118838934810052	0.892377850329565	0.372190439201938	0.768570984094121
1600002K03Rik	57.7648123557277	0.130188237605138	0.12066024859499	1.07896543493897	0.280603136628721	0.711075609019135
1600012H06Rik	380.499319396773	0.159709148599284	0.107895729977982	1.48021750843963	0.138815209399574	0.578747914457491
1600014C10Rik	927.323918406153	0.0312012325465738	0.0851250399261052	0.366534131128265	0.713966548981062	0.920601826302033
1700001C02Rik	191.351523120446	-0.0474239312757677	0.121745585829096	-0.389533065636898	0.696881855477041	0.913593448844424
1700001L19Rik	472.324791553345	0.0681642069797355	0.0964957095881175	0.706396245705511	0.479941754944024	0.82233213978978
1700003E16Rik	616.774461853113	0.0629402474807943	0.101050531976097	0.622859140372293	0.533377090613818	0.848243841929503
1700007G11Rik	137.665035348977	-0.135709184129047	0.120564922214364	-1.1256108463103	0.260330275075204	0.69868363524357
1700007K13Rik	849.197713920357	0.259058627352451	0.0976834978555612	2.65202038255741	0.00800117116666251	0.230983004105353
1700010I14Rik	79.4620515361177	0.0493666657658632	0.12215936101483	0.404116928541155	0.686126737000674	0.910671130377029
1700012B09Rik	154.890838257244	-0.0609379232370338	0.117961213633156	-0.51659288133931	0.605440386062416	0.877593445842774
1700013F07Rik	260.697893165992	0.15832098278205	0.115287638290765	1.37326937327618	0.169668620053835	0.611217566969537
1700016K19Rik	341.174690099552	0.0916680816847406	0.112989123821264	0.811300048929921	0.417193381970292	0.790096301467369
1700017B05Rik	282.19295648869	-0.0134140344862208	0.105831003890322	-0.126749572366548	0.89913860913538	0.975262671807935
